"CASEID_NEW","PPAGECAT","PPAGE","PPEDUCAT","PPEDUC","PPETHM","PPGENDER","PPHOUSEHOLDSIZE","PPINCIMP","PPMARIT","PPREG4","PPRENT","CHILDREN_IN_HH","PPWORK","PPNET","PPPARTYID3","PAPRELIGION","Q4","Q6B","Q7B","Q9","Q10","Q17A","Q21B","Q21D","Q23","Q27","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q31_7","Q31_8","Q31_9","Q32","Q34","HOW_LONG_RELATIONSHIP"
23286,"(02) 25-34",28,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(2) female",2,"(11) $40,000 to $49,999","(6) living with partner","(4) west","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(05) Jewish","(2) female","(1) white","(13) none",30,"(12) bachelor's degree","(1) once (this is my first marriage)",20,23,"(1) i earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",8
29584,"(05) 55-64",58,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",1,"(06) $15,000 to $19,999","(4) separated","(3) south","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(02) Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",51,"(13) master's degree","(1) once (this is my first marriage)",28,30,"(3) partner earned more","(2) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",30
34341,"(02) 25-34",34,"(4) bachelor's degree or higher","(12) bachelors degree","(1) white, non-hispanic","(2) female",2,"(14) $75,000 to $84,999","(1) married","(2) midwest","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(12) other non-Christian, please specify","(1) male","(1) white","(12) other non-christian, please specify",34,"(12) bachelor's degree","(1) once (this is my first marriage)",20,23,"(1) i earned more","(2) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",14
43381,"(03) 35-44",38,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(1) male",3,"(17) $125,000 to $149,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(1) male","(1) white","(03) catholic",45,"(09) hs graduate or ged","(1) once (this is my first marriage)",27,34,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",11
44486,"(04) 45-54",48,"(3) some college","(10) some college, no degree","(2) black, non-hispanic","(2) female",2,"(16) $100,000 to $124,999","(6) living with partner","(4) west","(2) rented for cash",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(12) other non-Christian, please specify","(2) female","(1) white","(08) buddhist",47,"(10) some college, no degree","(1) once (this is my first marriage)",44,45,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(6) yes, a different kind of internet service","(2) good",4
46746,"(06) 65-74",74,"(4) bachelor's degree or higher","(14) professional or doctorate degree","(1) white, non-hispanic","(1) male",2,"(14) $75,000 to $84,999","(6) living with partner","(4) west","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(3) democrat","(13) None","(1) male","(1) white","(03) catholic",61,"(11) associate degree","(1) once (this is my first marriage)",31,31,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",43
49731,"(06) 65-74",73,"(1) less than high school","(04) 7th or 8th grade","(1) white, non-hispanic","(1) male",2,"(07) $20,000 to $24,999","(1) married","(1) northeast","(1) owned or being bought by you or someone in your household",0,"(5) not working - retired","(1) yes","(1) republican","(09) Pentecostal","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",66,"(10) some college, no degree","(2) twice",27,27,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(1) excellent",46
64331,"(02) 25-34",33,"(2) high school","(09) high school graduate - high school diploma or the equivalent (ged)","(4) hispanic","(1) male",4,"(12) $50,000 to $59,999","(1) married","(4) west","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",42,"(06) 10th grade","(1) once (this is my first marriage)",26,31,"(3) partner earned more","(2) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(1) excellent",7
68546,"(04) 45-54",54,"(4) bachelor's degree or higher","(13) masters degree","(1) white, non-hispanic","(2) female",2,"(16) $100,000 to $124,999","(6) living with partner","(2) midwest","(1) owned or being bought by you or someone in your household",0,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(02) protestant (e.g. methodist, lutheran, presbyterian, episcopal)",48,"(12) bachelor's degree","(1) once (this is my first marriage)",34,38,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(0) no","(0) no","(0) no","(2) no, we did not meet through the internet","(2) good",20
69311,"(02) 25-34",31,"(3) some college","(11) associate degree","(1) white, non-hispanic","(1) male",9,"(13) $60,000 to $74,999","(1) married","(2) midwest","(1) owned or being bought by you or someone in your household",1,"(1) working - as a paid employee","(1) yes","(3) democrat","(03) Catholic","(2) female","(1) white","(03) catholic",31,"(09) hs graduate or ged","(1) once (this is my first marriage)",25,25,"(1) i earned more","(2) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(0) no","(1) yes","(2) no, we did not meet through the internet","(2) good",6
